color,colorLabel,hex
http://www.wikidata.org/entity/Q124153022,dark yellow,FFCC00
http://www.wikidata.org/entity/Q112732567,deep blue,0C1B32
http://www.wikidata.org/entity/Q89328051,deep pink,FF1493
http://www.wikidata.org/entity/Q112732364,deep purple,391F44
http://www.wikidata.org/entity/Q123852998,deep ruby,843F5B
http://www.wikidata.org/entity/Q90809332,deep sky blue,00BFFF
http://www.wikidata.org/entity/Q3705434,denim,1560BD
http://www.wikidata.org/entity/Q90809337,dim gray,696969
http://www.wikidata.org/entity/Q35625860,dirty white,DBDCDA
http://www.wikidata.org/entity/Q136459339,dove grey,6D6C6C
http://www.wikidata.org/entity/Q132643994,duck-egg blue,C3FBF4
http://www.wikidata.org/entity/Q132643994,duck-egg blue,CDE2E8
http://www.wikidata.org/entity/Q115941768,dull blue,BDCFD2
http://www.wikidata.org/entity/Q115413993,dull red,BB3F3F
http://www.wikidata.org/entity/Q71406823,dusky brown,846655
http://www.wikidata.org/entity/Q109433936,ebony,555D50
http://www.wikidata.org/entity/Q109433917,eerie black,1B1B1B
http://www.wikidata.org/entity/Q133289362,egg white,F1EDE2
http://www.wikidata.org/entity/Q56324355,eggplant,990066
http://www.wikidata.org/entity/Q5347944,eggshell,F0EAD6
http://www.wikidata.org/entity/Q11261134,enji,AE3846
http://www.wikidata.org/entity/Q136459479,fantasy,FAF3F0
http://www.wikidata.org/entity/Q128804553,feijoa,A5D785
http://www.wikidata.org/entity/Q13424722,fern green,4F7942
http://www.wikidata.org/entity/Q90809354,firebrick,B22222
http://www.wikidata.org/entity/Q132496788,flax blue,B5D5E4
http://www.wikidata.org/entity/Q25402474,floral white,FFFAF0
http://www.wikidata.org/entity/Q115653492,foliage green,3E6F58
http://www.wikidata.org/entity/Q112175360,folly,FF004F
http://www.wikidata.org/entity/Q132859887,french beige,A67B5B
http://www.wikidata.org/entity/Q2906503,frosted blue,80D0D0
http://www.wikidata.org/entity/Q5508507,fulvous,E48400
http://www.wikidata.org/entity/Q3757283,gainsboro,DCDCDC
http://www.wikidata.org/entity/Q123575515,gentle blue,B4D0E2
http://www.wikidata.org/entity/Q5610762,ghost white,F8F8FF
http://www.wikidata.org/entity/Q108312069,ginger green,B2B726
http://www.wikidata.org/entity/Q69362239,golden brown,996515
http://www.wikidata.org/entity/Q137832030,green pepper,397D02
http://www.wikidata.org/entity/Q137832030,green pepper,397D02
http://www.wikidata.org/entity/Q4001278,green tea,D0F0C0
http://www.wikidata.org/entity/Q4001278,green tea,D0F0C0
http://www.wikidata.org/entity/Q119267340,green-brown,696006
http://www.wikidata.org/entity/Q113897502,greenish-white,ccffcc
http://www.wikidata.org/entity/Q113897502,greenish-white,e5ffe5
http://www.wikidata.org/entity/Q105996967,greige,B0A999
http://www.wikidata.org/entity/Q115640836,grenadine pink,FF616B
http://www.wikidata.org/entity/Q133176313,ground beef,420005
http://www.wikidata.org/entity/Q133176313,ground beef,B70D15
http://www.wikidata.org/entity/Q133176313,ground beef,EC181D
http://www.wikidata.org/entity/Q901715,gunmetal,020D15
http://www.wikidata.org/entity/Q3305070,harlequin,3FFF00
http://www.wikidata.org/entity/Q3305070,harlequin,3FFF00
http://www.wikidata.org/entity/Q69524026,hazel,B5AE6E
http://www.wikidata.org/entity/Q2296108,heliotrope,DF73FF
http://www.wikidata.org/entity/Q106006725,hickory,B7A28E
http://www.wikidata.org/entity/Q90809376,honeydew,F0FFF0
http://www.wikidata.org/entity/Q90809383,hot pink,FF69B4
http://www.wikidata.org/entity/Q15141721,hunter green,355E3B
http://www.wikidata.org/entity/Q56887977,ice blue,99FFFF
http://www.wikidata.org/entity/Q60679298,illuminating emerald,339966
http://www.wikidata.org/entity/Q11622600,indigo white,EBF6F7
http://www.wikidata.org/entity/Q24239818,insignia red,9B2F25
http://www.wikidata.org/entity/Q2002932,isabelline,F4F0EC
http://www.wikidata.org/entity/Q13582464,jade,00A86B
http://www.wikidata.org/entity/Q13582464,jade,00A86B
http://www.wikidata.org/entity/Q137832049,jalapeño green,0B4906
http://www.wikidata.org/entity/Q137832049,jalapeño green,0B4906
http://www.wikidata.org/entity/Q133187826,jasper,343B36
http://www.wikidata.org/entity/Q123227593,jet black,131513
http://www.wikidata.org/entity/Q132459375,king blue,375184
http://www.wikidata.org/entity/Q3762379,laser lemon,FFFF66
http://www.wikidata.org/entity/Q89274725,lavender blush,FFF0F5
http://www.wikidata.org/entity/Q115640889,lavender gray,C4C3D0
http://www.wikidata.org/entity/Q90809391,lawn green,7CFC00
http://www.wikidata.org/entity/Q115736060,lead grey,7D7D7C
http://www.wikidata.org/entity/Q109433927,licorice,1A1110
http://www.wikidata.org/entity/Q90809429,light  green,90EE90
http://www.wikidata.org/entity/Q90809405,light coral,F08080
http://www.wikidata.org/entity/Q90809411,light cyan,E0FFFF
http://www.wikidata.org/entity/Q90809422,light goldenrod yellow,FAFAD2
http://www.wikidata.org/entity/Q24837001,light grass green,99E64D
http://www.wikidata.org/entity/Q3160411,light jade,3F9877
http://www.wikidata.org/entity/Q3160411,light jade,87E990
http://www.wikidata.org/entity/Q115858501,light lilac,DEC6D3
http://www.wikidata.org/entity/Q25401999,light olive beige,908435
http://www.wikidata.org/entity/Q68365832,light orange,FFA500
http://www.wikidata.org/entity/Q71873134,light pink,FFB6C1
http://www.wikidata.org/entity/Q69692146,light red,FF7F7F
http://www.wikidata.org/entity/Q90277986,light salmon,FFA07A
http://www.wikidata.org/entity/Q90809441,light sea green,20B2AA
http://www.wikidata.org/entity/Q90809445,light sky blue,87CEFA
http://www.wikidata.org/entity/Q90809448,light slate gray,778899
http://www.wikidata.org/entity/Q90809462,light steel blue,B0C4DE
http://www.wikidata.org/entity/Q3631631,light turquoise,AFEEEE
http://www.wikidata.org/entity/Q68223248,light yellow,FFFFE0
http://www.wikidata.org/entity/Q98080812,lime green,32CD32
http://www.wikidata.org/entity/Q110102667,lobster red,FB551C
http://www.wikidata.org/entity/Q110102658,madder,B7282E
http://www.wikidata.org/entity/Q111905166,madder brown,6B3231
http://www.wikidata.org/entity/Q12858979,magenta rose,FF00AF
http://www.wikidata.org/entity/Q70218161,mahogany red,CD4A4C
http://www.wikidata.org/entity/Q25203611,mango,FFC800
http://www.wikidata.org/entity/Q19572932,marigold,F79428
http://www.wikidata.org/entity/Q90809465,medium aquamarine,66CDAA
http://www.wikidata.org/entity/Q90809470,medium blue,0000CD
http://www.wikidata.org/entity/Q90809474,medium orchid,BA55D3
http://www.wikidata.org/entity/Q116786995,medium purple,9370DB
http://www.wikidata.org/entity/Q90809480,medium purple,9370DB
http://www.wikidata.org/entity/Q123852800,medium ruby,CE4676
http://www.wikidata.org/entity/Q90809482,medium sea green,3CB371
http://www.wikidata.org/entity/Q90809486,medium slate blue,7B68EE
http://www.wikidata.org/entity/Q90809487,medium spring green,00FA9A
http://www.wikidata.org/entity/Q22934831,medium turquoise,48D1CC
http://www.wikidata.org/entity/Q137583214,milk chocolate,84563C
http://www.wikidata.org/entity/Q110102849,milk white,F4ECD7
http://www.wikidata.org/entity/Q110102849,milk white,FEFCFF
http://www.wikidata.org/entity/Q106066153,mink,8A7561
http://www.wikidata.org/entity/Q90313161,mint cream,F5FFFA
http://www.wikidata.org/entity/Q90809496,misty rose,FFE4E1
http://www.wikidata.org/entity/Q90809502,moccasin,FFE4B5
http://www.wikidata.org/entity/Q11620271,moegi,A9D159
http://www.wikidata.org/entity/Q56887985,morning blue,8DA399
http://www.wikidata.org/entity/Q15141724,moss green,ADDFAD
http://www.wikidata.org/entity/Q15141724,moss green,ADDFAD
http://www.wikidata.org/entity/Q97376612,moss green,ADDFAD
http://www.wikidata.org/entity/Q106065388,mother of pearl,E9D4C3
http://www.wikidata.org/entity/Q55148403,natural silk color,EDE4CD
http://www.wikidata.org/entity/Q116787015,neon blue,1B03A3
http://www.wikidata.org/entity/Q116787017,neon carrot,FFA343
http://www.wikidata.org/entity/Q116787024,nickel,727472
